[Tab 0, src/caption-layout.ts:16] CAPTION_LAYOUT {"count":92,"maxWidth":838.5581246948242,"font":84,"words":237}
Packaged source frame 0 rebuilt
Packaged source frame 3 rebuilt
Packaged source frame 12 rebuilt
Packaged source frame 18 rebuilt
Packaged source frame 30 rebuilt
Packaged source frame 42 rebuilt
Packaged source frame 48 rebuilt
Packaged source frame 55 rebuilt
Packaged source frame 59 rebuilt
Packaged source frame 64 rebuilt
Packaged source frame 72 rebuilt
Packaged source frame 81 rebuilt
Packaged source frame 94 rebuilt
Packaged source frame 108 rebuilt
Packaged source frame 183 rebuilt
Packaged source frame 244 rebuilt
Packaged source frame 284 rebuilt
Packaged source frame 323 rebuilt
Packaged source frame 563 rebuilt
Packaged source frame 668 rebuilt
Packaged source frame 780 rebuilt
Packaged source frame 850 rebuilt
Packaged source frame 977 rebuilt
Packaged source frame 1138 rebuilt
Packaged source frame 1161 rebuilt
Packaged source frame 1170 rebuilt
Packaged source frame 1182 rebuilt
Packaged source frame 1196 rebuilt
Packaged source frame 1218 rebuilt
Packaged source frame 1231 rebuilt
Packaged source frame 1247 rebuilt
Packaged source frame 1336 rebuilt
Packaged source frame 1342 rebuilt
Packaged source frame 1351 rebuilt
Packaged source frame 1362 rebuilt
Packaged source frame 1374 rebuilt
Packaged source frame 1376 rebuilt
Packaged source frame 1386 rebuilt
Packaged source frame 1400 rebuilt
