channel,lane,id,title,views,channel_median,outlier,age,recency_boost,transfer_mult,signals,FINAL,dur_s,door_a_eligible,url
GregIsenberg,adjacent-startup,ovLAIhbk3ek,How to 10x your Claude with 4 .md files,733000,14000,52.36,103d,0.6,1.0,-,31.41,47,no,https://youtube.com/shorts/ovLAIhbk3ek
GregIsenberg,adjacent-startup,yJK5GueSHmU,Claude Code + Obsidian in under 1 minute,596000,14000,42.57,118d,0.6,1.2,time,30.65,46,no,https://youtube.com/shorts/yJK5GueSHmU
GregIsenberg,adjacent-startup,5G9PAIUs5Pk,Claude Code Clearly Explained,419000,14000,29.93,152d,0.6,1.0,-,17.96,50,no,https://youtube.com/shorts/5G9PAIUs5Pk
GregIsenberg,adjacent-startup,5taGT_Orhqk,The future of building startups is building micro-startups,300000,14000,21.43,518d,0.6,1.0,-,12.86,50,no,https://youtube.com/shorts/5taGT_Orhqk
matthew_berman,in-niche-builder,DOfwOVDKSSk,Claude got attacked,131000,17000,7.71,16d,1.0,1.0,-,7.71,62,no,https://youtube.com/shorts/DOfwOVDKSSk
matthew_berman,in-niche-builder,oQ_aqiSTLQc,GPT 5.6 is officially BANNED,110000,17000,6.47,16d,1.0,1.0,-,6.47,50,no,https://youtube.com/shorts/oQ_aqiSTLQc
GregIsenberg,adjacent-startup,eMGOjeiz92A,Business Idea: Lead Generation Agency | $1M - $10M+ Idea,108000,14000,7.71,683d,0.6,1.3,money,6.02,56,no,https://youtube.com/shorts/eMGOjeiz92A
aliabdaal,adjacent-time,duDgVfn1lCk,Rating self-help & productivity books,230000,25000,9.2,58d,0.6,1.0,-,5.52,59,no,https://youtube.com/shorts/duDgVfn1lCk
matthew_berman,in-niche-builder,EtxdB7gpFqY,AI can run for days on its own now,70000,17000,4.12,18d,1.0,1.2,time,4.94,52,no,https://youtube.com/shorts/EtxdB7gpFqY
matthew_berman,in-niche-builder,ROKgDeeFAnk,New BEST AI Memory System,132000,17000,7.76,95d,0.6,1.0,-,4.66,73,no,https://youtube.com/shorts/ROKgDeeFAnk
GregIsenberg,adjacent-startup,zB5mUHSYjXA,How to make $$ with OpenClaw,82000,14000,5.86,122d,0.6,1.3,money,4.57,57,no,https://youtube.com/shorts/zB5mUHSYjXA
GregIsenberg,adjacent-startup,VE2Uxb9Fz7I,Claude Cowork Explained,102000,14000,7.29,150d,0.6,1.0,-,4.37,49,no,https://youtube.com/shorts/VE2Uxb9Fz7I
ramitsethi,adjacent-money,1ijF8wRmd7M,Should Couples Have a Joint Account?,36000,9100,3.96,17d,1.0,1.0,-,3.96,40,no,https://youtube.com/shorts/1ijF8wRmd7M
ramitsethi,adjacent-money,S5uU7bAepqk,Wait… Where Did the Money Go?,27000,9050,2.98,16d,1.0,1.3,money,3.88,40,no,https://youtube.com/shorts/S5uU7bAepqk
GregIsenberg,adjacent-startup,cf6WEZUVbEI,How to use Claude Code to launch 100+ Facebook ads,90000,14000,6.43,111d,0.6,1.0,-,3.86,50,no,https://youtube.com/shorts/cf6WEZUVbEI
nateherk,in-niche,AUoYldwt_sA,"How I Build $10,000 Apple-Style Websites with Claude Code",148000,30000,4.93,130d,0.6,1.3,money,3.85,158,no,https://youtube.com/shorts/AUoYldwt_sA
GregIsenberg,adjacent-startup,ecm2ZUOQSTg,Hermes Agent Explained,86000,14000,6.14,50d,0.6,1.0,-,3.69,60,no,https://youtube.com/shorts/ecm2ZUOQSTg
NickSaraev,in-niche,aIflIQMacV4,Why Saturation Doesn't Matter,46000,8200,5.61,352d,0.6,1.0,-,3.37,13,no,https://youtube.com/shorts/aIflIQMacV4
matthew_berman,in-niche-builder,p7eQYMcmZqo,Grok  just broke the trend,38000,17000,2.24,3d,1.5,1.0,-,3.35,45,YES,https://youtube.com/shorts/p7eQYMcmZqo
matthew_berman,in-niche-builder,rg9oHMXzLl0,GPT 5.6 is officially NOT BANNED (even worse),56000,17000,3.29,16d,1.0,1.0,-,3.29,51,no,https://youtube.com/shorts/rg9oHMXzLl0
nateherk,in-niche,0A3NGrPlp_w,Google's New Tool Just Solved A Major Claude Code Problem,161000,30000,5.37,124d,0.6,1.0,-,3.22,112,no,https://youtube.com/shorts/0A3NGrPlp_w
davidondrej,in-niche-builder,kUMZ5YNA13k,24 Agents tasked to build a $1B app,19000,4600,4.13,36d,0.6,1.3,money,3.22,23,no,https://youtube.com/shorts/kUMZ5YNA13k
matthew_berman,in-niche-builder,ny6g0zyTuzY,"$1,300,000 in TOKENS",69000,17000,4.06,37d,0.6,1.3,money,3.17,39,no,https://youtube.com/shorts/ny6g0zyTuzY
NickSaraev,in-niche,On_DVAjnkRY,AI automation is just like any other business,42000,8200,5.12,441d,0.6,1.0,-,3.07,51,no,https://youtube.com/shorts/On_DVAjnkRY
ramitsethi,adjacent-money,ZMLvmL_03Gw,$220K Pool... While They Were in Debt?!,21000,9100,2.31,25d,1.0,1.3,money,3.0,49,no,https://youtube.com/shorts/ZMLvmL_03Gw
ramitsethi,adjacent-money,tyUJPTzbuwc,"“We’re 1.2M in debt, just lost my job”",27000,9050,2.98,26d,1.0,1.0,-,2.98,52,no,https://youtube.com/shorts/tyUJPTzbuwc
GregIsenberg,adjacent-startup,2VSmDS3ALnw,How to use Obsidian with Claude in 61 seconds,61000,14000,4.36,44d,0.6,1.0,-,2.61,61,no,https://youtube.com/shorts/2VSmDS3ALnw
matthew_berman,in-niche-builder,mR2Rh9RtyR4,"Turns out, HTML is King",74000,17000,4.35,60d,0.6,1.0,-,2.61,66,no,https://youtube.com/shorts/mR2Rh9RtyR4
NickSaraev,in-niche,YfYv0_TEJ3g,My take on making money. What're your guys thoughts?,26000,8200,3.17,652d,0.6,1.3,money,2.47,43,no,https://youtube.com/shorts/YfYv0_TEJ3g
ramitsethi,adjacent-money,ozWwrfZLUkI,“Am I going to spend my entire retirement alone?”,18000,9100,1.98,9d,1.25,1.0,-,2.47,24,no,https://youtube.com/shorts/ozWwrfZLUkI
