experiment_id,topic,platform,variant_id,family,checkpoint_hours,post_url,publish_time_iso_timezone,actual_order,post_mode,auto_share_enabled,snapshot_time_iso_timezone,actual_age_hours,primary_metric_label,primary_metric_denominator,primary_metric_pct,denominator_count,views,engaged_views,reach,shorts_feed_opportunities,retention_3s_pct,retention_5s_pct,retention_10s_pct,average_watch_seconds,average_percentage_viewed,shares,saves,comments,follows_or_subscribers,evidence_path,confounds_notes,decision
JEV-001,JEV155,Instagram,A,hinged_access_reveal,24,,,,,,,,,,,,,,,,,,,,,,,,,,,pending
JEV-001,JEV155,Instagram,A,hinged_access_reveal,72,,,,,,,,,,,,,,,,,,,,,,,,,,,pending
JEV-001,JEV155,Instagram,A,hinged_access_reveal,168,,,,,,,,,,,,,,,,,,,,,,,,,,,pending
JEV-001,JEV155,Instagram,B,progressive_zipper_reveal,24,,,,,,,,,,,,,,,,,,,,,,,,,,,pending
JEV-001,JEV155,Instagram,B,progressive_zipper_reveal,72,,,,,,,,,,,,,,,,,,,,,,,,,,,pending
JEV-001,JEV155,Instagram,B,progressive_zipper_reveal,168,,,,,,,,,,,,,,,,,,,,,,,,,,,pending
JEV-001,JEV155,Instagram,C,balloon_pressure_release,24,,,,,,,,,,,,,,,,,,,,,,,,,,,pending
JEV-001,JEV155,Instagram,C,balloon_pressure_release,72,,,,,,,,,,,,,,,,,,,,,,,,,,,pending
JEV-001,JEV155,Instagram,C,balloon_pressure_release,168,,,,,,,,,,,,,,,,,,,,,,,,,,,pending
JEV-001,JEV155,YouTube,A,hinged_access_reveal,24,,,,,,,,,,,,,,,,,,,,,,,,,,,pending
JEV-001,JEV155,YouTube,A,hinged_access_reveal,72,,,,,,,,,,,,,,,,,,,,,,,,,,,pending
JEV-001,JEV155,YouTube,A,hinged_access_reveal,168,,,,,,,,,,,,,,,,,,,,,,,,,,,pending
JEV-001,JEV155,YouTube,B,progressive_zipper_reveal,24,,,,,,,,,,,,,,,,,,,,,,,,,,,pending
JEV-001,JEV155,YouTube,B,progressive_zipper_reveal,72,,,,,,,,,,,,,,,,,,,,,,,,,,,pending
JEV-001,JEV155,YouTube,B,progressive_zipper_reveal,168,,,,,,,,,,,,,,,,,,,,,,,,,,,pending
JEV-001,JEV155,YouTube,C,balloon_pressure_release,24,,,,,,,,,,,,,,,,,,,,,,,,,,,pending
JEV-001,JEV155,YouTube,C,balloon_pressure_release,72,,,,,,,,,,,,,,,,,,,,,,,,,,,pending
JEV-001,JEV155,YouTube,C,balloon_pressure_release,168,,,,,,,,,,,,,,,,,,,,,,,,,,,pending
